snomed_code,cpt_hcpcs,code_system,service_category,revenue_code,billable_yn,map_quality
386516004,,NONE,nonbillable,,N,none
1259293006,D2391,CDT,dental,,Y,approximate
371908008,,NONE,bundled,0410,N,none
1256042007,D2394,CDT,dental,,Y,approximate
104091002,85025,CPT,lab,0300,Y,close
431182000,,NONE,bundled,,N,none
103750000,95806,CPT,medicine,0920,Y,approximate
73761001,45378,CPT,surgery,0750,Y,exact
252160004,81025,CPT,lab,0300,Y,exact
169230002,76801,CPT,radiology,0402,Y,close
90226004,88142,CPT,lab,0310,Y,close
91251008,97110,CPT,therapy,0420,Y,close
700070005,92134,CPT,medicine,0920,Y,exact
44608003,86900,CPT,lab,0300,Y,exact
127783003,94010,CPT,medicine,0460,Y,exact
399208008,71046,CPT,radiology,0320,Y,close
370789001,,NONE,nonbillable,,N,none
315639002,,NONE,nonbillable,,N,none
84478008,97530,CPT,therapy,0430,Y,approximate
310861008,87320,CPT,lab,0300,Y,close
60218003,81002,CPT,lab,0300,Y,close
31676001,87389,CPT,lab,0300,Y,close
269828009,86592,CPT,lab,0300,Y,close
314098000,86762,CPT,lab,0300,Y,exact
117010004,87086,CPT,lab,0300,Y,exact
104326007,86787,CPT,lab,0300,Y,exact
395123002,81002,CPT,lab,0300,Y,approximate
47758006,87340,CPT,lab,0300,Y,exact
28163009,86580,CPT,lab,0300,Y,close
104375008,86803,CPT,lab,0300,Y,exact
165829005,87850,CPT,lab,0300,Y,close
443529005,88271,CPT,lab,0310,Y,approximate
229064008,97112,CPT,therapy,0420,Y,approximate
117015009,87081,CPT,lab,0300,Y,exact
268556000,81002,CPT,lab,0300,Y,close
399014008,90471,CPT,immunization_admin,0771,Y,close
275833003,82105,CPT,lab,0300,Y,exact
271442007,76805,CPT,radiology,0402,Y,close
118001005,87802,CPT,lab,0300,Y,approximate
29303009,93000,CPT,medicine,0730,Y,exact
25656009,,NONE,nonbillable,,N,none
23426006,94375,CPT,medicine,0460,Y,approximate
16335031000119103,71250,CPT,radiology,0350,Y,exact
386216000,59409,CPT,obstetrics,0720,Y,close
15081005,G0424,HCPCS,therapy,0948,Y,exact
308283009,99238,CPT,em,,Y,close
173291009,D7140,CDT,dental,,Y,exact
441550005,81001,CPT,lab,0300,Y,close
1004045004,67028,CPT,surgery,0360,Y,exact
228557008,90834,CPT,behavioral,0900,Y,approximate
84100007,,NONE,nonbillable,,N,none
711446003,50360,CPT,surgery,0360,Y,close
234745004,D0470,CDT,dental,,Y,approximate
1269321004,D5110,CDT,dental,,Y,approximate
33195004,77402,CPT,oncology,0333,Y,close
63332003,,NONE,nonbillable,,N,none
370995009,98960,CPT,medicine,0510,Y,approximate
169553002,11981,CPT,surgery,0510,Y,exact
225386006,,NONE,nonbillable,,N,none
71651007,77067,CPT,radiology,0401,Y,close
40701008,93306,CPT,medicine,0480,Y,close
67879005,,NONE,nonbillable,,N,none
223470000,,NONE,nonbillable,,N,none
183519002,,NONE,nonbillable,,N,none
311555007,92507,CPT,therapy,0440,Y,exact
288086009,12002,CPT,surgery,0450,Y,close
65200003,58300,CPT,surgery,0510,Y,exact
281789004,96365,CPT,medicine,0260,Y,approximate
57617002,,NONE,bundled,,N,none
274474001,29125,CPT,surgery,0450,Y,approximate
14768001,85060,CPT,lab,0300,Y,exact
33367005,93458,CPT,surgery,0481,Y,close
312681000,77080,CPT,radiology,0320,Y,exact
301807007,11976,CPT,surgery,0510,Y,exact
395142003,95004,CPT,lab,0300,Y,close
71493000,36430,CPT,medicine,0391,Y,exact
269911007,87070,CPT,lab,0300,Y,close
714812005,59840,CPT,obstetrics,0360,Y,close
1263416007,58301,CPT,surgery,0510,Y,exact
274031008,45315,CPT,surgery,0750,Y,close
415070008,92928,CPT,surgery,0481,Y,close
46706006,58301,CPT,surgery,0510,Y,approximate
18946005,01967,CPT,anesthesia,0370,Y,close
315124004,87536,CPT,lab,0300,Y,exact
104435004,82270,CPT,lab,0300,Y,exact
9564003,85025,CPT,lab,0300,Y,exact
65546002,D7240,CDT,dental,,Y,close
313660005,86361,CPT,lab,0300,Y,exact
61746007,,NONE,bundled,,N,none
386478007,,NONE,bundled,,N,none
169673001,86901,CPT,lab,0300,Y,close
367336001,96413,CPT,oncology,0335,Y,close
433236007,93306,CPT,medicine,0480,Y,exact
54550000,95816,CPT,medicine,0740,Y,close
31208007,,NONE,bundled,0720,N,none
410770002,01999,CPT,anesthesia,0370,Y,approximate
52765003,31500,CPT,medicine,0410,Y,exact
11466000,59510,CPT,obstetrics,0720,Y,close
392247006,36620,CPT,medicine,0360,Y,exact
713026007,73060,CPT,radiology,0320,Y,exact
271280005,,NONE,bundled,,N,none
65677008,93503,CPT,medicine,0481,Y,exact
359672006,,NONE,bundled,0360,N,none
243150007,94002,CPT,medicine,0410,Y,close
1287742003,77402,CPT,oncology,0333,Y,approximate
168594001,73000,CPT,radiology,0320,Y,exact
430701006,96360,CPT,medicine,0260,Y,close
713024005,73110,CPT,radiology,0320,Y,close
1290459008,73610,CPT,radiology,0320,Y,close
302497006,90935,CPT,dialysis,0821,Y,exact
237001001,,NONE,bundled,0720,N,none
384700001,90389,CPT,medicine,0636,Y,close
236974004,59409,CPT,obstetrics,0720,Y,approximate
287664005,58670,CPT,surgery,0360,Y,close
63697000,,NONE,bundled,0360,N,none
301884003,,NONE,bundled,,N,none
301882004,,NONE,bundled,,N,none
42825003,,NONE,bundled,,N,none
8290005,,NONE,bundled,,N,none
233553003,,NONE,bundled,,N,none
313191000,96372,CPT,medicine,0636,Y,close
234687006,D4263,CDT,dental,,Y,close
232717009,33533,CPT,surgery,0360,Y,close
418824004,33533,CPT,surgery,0360,Y,close
414088005,33533,CPT,surgery,0360,Y,close
1290407002,73562,CPT,radiology,0320,Y,close
70536003,50360,CPT,surgery,0360,Y,exact
397539000,67210,CPT,surgery,0360,Y,close
79345008,21031,CPT,surgery,0360,Y,exact
713021002,72170,CPT,radiology,0320,Y,exact
80146002,44970,CPT,surgery,0360,Y,close
43075005,44140,CPT,surgery,0360,Y,close
122548005,19081,CPT,surgery,0360,Y,approximate
433114000,88342,CPT,lab,0310,Y,approximate
434363004,88374,CPT,lab,0310,Y,approximate
699253003,27570,CPT,surgery,0360,Y,exact
76746007,93015,CPT,medicine,0482,Y,close
26604007,85027,CPT,lab,0300,Y,exact
65575008,55700,CPT,surgery,0360,Y,exact
1290789000,70100,CPT,radiology,0320,Y,close
866146005,80048,CPT,lab,0300,Y,close
418891003,74177,CPT,radiology,0350,Y,approximate
698354004,70551,CPT,radiology,0610,Y,approximate
116861002,36430,CPT,medicine,0391,Y,close
1571000087109,76641,CPT,radiology,0402,Y,exact
241055006,77066,CPT,radiology,0401,Y,close
433112001,37187,CPT,surgery,0360,Y,close
24623002,77067,CPT,radiology,0401,Y,exact
180178009,,NONE,bundled,0636,N,none
23933004,41115,CPT,surgery,0360,Y,exact
418023006,74177,CPT,radiology,0350,Y,exact
112798008,31500,CPT,medicine,0410,Y,exact
58828004,,NONE,bundled,,N,none
179632003,21480,CPT,surgery,0450,Y,close
241615005,77049,CPT,radiology,0610,Y,close
1290953004,72081,CPT,radiology,0320,Y,approximate
34896006,10060,CPT,surgery,0450,Y,approximate
12719002,36430,CPT,medicine,0391,Y,close
24832002,21450,CPT,surgery,0360,Y,exact
236931002,59150,CPT,surgery,0360,Y,approximate
446573003,95811,CPT,medicine,0920,Y,close
88039007,32851,CPT,surgery,0360,Y,exact
22523008,55250,CPT,surgery,0360,Y,exact
90470006,55866,CPT,surgery,0360,Y,approximate
445912000,59151,CPT,surgery,0360,Y,close
76164006,45380,CPT,surgery,0750,Y,close
392021009,19301,CPT,surgery,0360,Y,exact
112790001,31231,CPT,surgery,0360,Y,exact
105376000,93312,CPT,medicine,0480,Y,exact
104308009,86777,CPT,lab,0300,Y,exact
313398001,86803,CPT,lab,0300,Y,approximate
171122006,87340,CPT,lab,0300,Y,close
429609002,32491,CPT,surgery,0360,Y,exact
171128005,86592,CPT,lab,0300,Y,approximate
412809002,86803,CPT,lab,0300,Y,approximate
40617009,94002,CPT,medicine,0410,Y,close
171126009,86580,CPT,lab,0300,Y,close
426701000119108,76705,CPT,radiology,0402,Y,exact
243174005,94004,CPT,medicine,0410,Y,approximate
18286008,93653,CPT,surgery,0481,Y,approximate
23183008,41116,CPT,surgery,0360,Y,approximate
413107006,86803,CPT,lab,0300,Y,exact
432231006,32405,CPT,surgery,0360,Y,close
171121004,87389,CPT,lab,0300,Y,exact
26212005,33405,CPT,surgery,0360,Y,exact
85765000,31622,CPT,surgery,0750,Y,exact
45595009,47562,CPT,surgery,0360,Y,exact
446987006,87900,CPT,lab,0300,Y,approximate
773996000,33361,CPT,surgery,0360,Y,close
167995008,87205,CPT,lab,0300,Y,close
180325003,92960,CPT,medicine,0480,Y,exact
61594008,87070,CPT,lab,0300,Y,approximate
443497002,38500,CPT,surgery,0360,Y,approximate
116863004,36430,CPT,medicine,0391,Y,exact
268400002,93000,CPT,medicine,0730,Y,exact
413180006,67228,CPT,surgery,0360,Y,exact
394894008,96413,CPT,oncology,0335,Y,approximate
234262008,38525,CPT,surgery,0360,Y,close
410011004,01999,CPT,anesthesia,0370,Y,approximate
396487001,38500,CPT,surgery,0360,Y,approximate
387685009,23700,CPT,surgery,0360,Y,exact
371361000119107,80053,CPT,lab,0300,Y,exact
43060002,96374,CPT,medicine,0260,Y,exact
58776007,38241,CPT,surgery,0362,Y,exact
13569004,36430,CPT,medicine,0391,Y,close
234336002,38241,CPT,surgery,0362,Y,close
91602002,32554,CPT,surgery,0360,Y,close
167252002,81025,CPT,lab,0300,Y,exact
709979004,93925,CPT,radiology,0921,Y,approximate
303653007,70450,CPT,radiology,0350,Y,exact
38102005,47600,CPT,surgery,0360,Y,exact
233174007,33208,CPT,surgery,0360,Y,approximate
